name,description,calories,protein,carbs,fats,ingredients,image_url,assigned_to_client_id
Greek Yogurt Berry Bowl,High-protein breakfast with berries,320,28,36,7,"Greek yogurt, mixed berries, granola, honey",,
Avocado Egg Toast,Whole grain toast with eggs and avocado,410,22,34,20,"Whole grain bread, eggs, avocado, cherry tomatoes",,
Protein Oatmeal,Slow-digesting oats with protein powder,380,30,45,9,"Rolled oats, whey protein, banana, cinnamon",,
Veggie Omelet,Three-egg omelet with vegetables,350,26,12,22,"Eggs, spinach, mushrooms, bell pepper, onions",,
Smoked Salmon Bagel,Omega-3 rich breakfast,420,25,38,18,"Whole grain bagel, smoked salmon, light cream cheese, capers",,
Chicken Quinoa Bowl,Lean protein with complex carbs,520,40,52,14,"Chicken breast, quinoa, roasted broccoli, olive oil",,
Turkey Wrap,Lean lunch wrap,430,32,42,13,"Whole wheat wrap, turkey breast, lettuce, tomato, mustard",,
Tuna Salad Plate,Light lunch with healthy fats,390,34,10,22,"Tuna, mixed greens, olive oil, lemon, avocado",,
Lentil Power Bowl,Plant-based protein and fiber,480,28,64,10,"Lentils, brown rice, kale, carrots, tahini",,
Chicken Caesar Salad,Classic salad with protein,410,36,18,20,"Chicken breast, romaine, parmesan, light caesar dressing",,
Beef Stir Fry,High-protein dinner with vegetables,560,42,48,18,"Lean beef, mixed vegetables, soy sauce, jasmine rice",,
Baked Salmon Plate,Omega-3 rich dinner,540,38,28,28,"Salmon, sweet potato, asparagus, olive oil",,
Turkey Chili Bowl,Hearty dinner with fiber,520,36,46,16,"Ground turkey, beans, tomatoes, onions, spices",,
Chicken Pasta,Post-workout dinner,610,45,70,16,"Chicken breast, whole wheat pasta, marinara, spinach",,
Shrimp Rice Bowl,Light dinner with protein,500,35,58,10,"Shrimp, basmati rice, peas, carrots, sesame oil",,
Protein Smoothie,Quick snack option,260,24,28,6,"Whey protein, banana, almond milk, peanut butter",,
Cottage Cheese Fruit Cup,High-protein snack,220,22,18,6,"Cottage cheese, pineapple, chia seeds",,
Almond Butter Rice Cakes,Simple snack,240,8,24,12,"Rice cakes, almond butter, sliced strawberries",,
Hummus Veggie Plate,Fiber-rich snack,210,6,24,10,"Hummus, carrots, cucumbers, bell peppers",,
Hard-Boiled Eggs,Portable protein snack,160,13,1,11,"Eggs, sea salt",,
Tofu Veggie Stir Fry,Plant-based dinner,520,28,60,16,"Tofu, broccoli, snap peas, soy sauce, brown rice",,
Chicken Burrito Bowl,High-energy dinner,650,48,72,18,"Chicken breast, rice, black beans, salsa, avocado",,
Overnight Oats,Make-ahead breakfast,360,20,48,9,"Oats, Greek yogurt, chia seeds, blueberries",,
Chia Pudding,Light breakfast or snack,280,10,26,14,"Chia seeds, almond milk, vanilla, berries",,
Steak and Potatoes,High-protein dinner,700,50,52,28,"Sirloin steak, roasted potatoes, green beans",,
Veggie Wrap,Light lunch option,360,12,52,12,"Whole wheat wrap, hummus, mixed vegetables",,
Chicken Soup,Comforting lunch,330,28,24,10,"Chicken, carrots, celery, broth, noodles",,
Baked Cod Plate,Lean dinner option,480,38,40,12,"Cod, quinoa, steamed vegetables, lemon",,
Protein Pancakes,High-protein breakfast,420,32,50,8,"Oats, eggs, whey protein, blueberries",,
Greek Salad with Chicken,Fresh lunch salad,430,34,18,22,"Chicken breast, cucumber, tomato, feta, olive oil",,
